Time (ms)	Voltage (V)	Voltage (V)	Voltage (V)	Output Voltage (V)	Output Current (A)
3.375	1.88	0.044	0.303	2.236	0.057
3.45	1.797	0.024	0.317	2.144	0.054
3.525	1.719	0	0.332	2.046	0.052
3.6	1.631	-0.029	0.342	1.948	0.049
3.675	1.538	-0.049	0.352	1.841	0.046
3.75	1.445	-0.078	0.361	1.733	0.043
3.825	1.348	-0.103	0.376	1.621	0.04
3.9	1.25	-0.127	0.381	1.504	0.038
3.975	1.147	-0.151	0.391	1.387	0.034
4.05	1.045	-0.176	0.4	1.26	0.031
4.125	0.937	-0.2	0.4	1.138	0.028
4.2	0.83	-0.225	0.41	1.011	0.025
4.275	0.723	-0.244	0.415	0.879	0.021
4.35	0.61	-0.269	0.42	0.752	0.018
4.425	0.498	-0.288	0.425	0.62	0.014
4.5	0.386	-0.312	0.42	0.488	0.011
4.575	0.269	-0.332	0.425	0.352	0.007
4.65	0.156	-0.352	0.425	0.215	0.004
4.725	0.039	-0.371	0.425	0.083	7.32E-04
4.8	-0.078	-0.391	0.425	-0.054	-0.003
4.875	-0.19	-0.41	0.42	-0.19	-0.006
4.95	-0.303	-0.425	0.42	-0.322	-0.01
5.025	-0.42	-0.439	0.415	-0.464	-0.013
5.1	-0.532	-0.454	0.41	-0.591	-0.017
5.175	-0.645	-0.469	0.405	-0.728	-0.02
5.25	-0.752	-0.488	0.396	-0.859	-0.023
5.325	-0.864	-0.498	0.391	-0.986	-0.027
5.4	-0.972	-0.508	0.381	-1.113	-0.03
5.475	-1.079	-0.518	0.371	-1.235	-0.033
5.55	-1.182	-0.527	0.366	-1.362	-0.036
5.625	-1.284	-0.532	0.352	-1.484	-0.04
5.7	-1.377	-0.547	0.342	-1.597	-0.042
5.775	-1.479	-0.547	0.332	-1.709	-0.045
5.85	-1.567	-0.557	0.317	-1.821	-0.048
5.925	-1.66	-0.557	0.303	-1.929	-0.051
6	-1.743	-0.557	0.288	-2.031	-0.053
6.075	-1.826	-0.566	0.278	-2.124	-0.056
6.15	-1.909	-0.562	0.259	-2.222	-0.058
6.225	-1.978	-0.562	0.244	-2.31	-0.06
6.3	-2.051	-0.557	0.229	-2.393	-0.062
6.375	-2.114	-0.557	0.215	-2.476	-0.064
6.45	-2.178	-0.552	0.19	-2.544	-0.066
6.525	-2.236	-0.547	0.181	-2.617	-0.068
6.6	-2.29	-0.537	0.156	-2.681	-0.07
6.675	-2.334	-0.537	0.146	-2.734	-0.071
6.75	-2.383	-0.522	0.122	-2.793	-0.073
6.825	-2.422	-0.508	0.103	-2.837	-0.074
6.9	-2.456	-0.503	0.083	-2.881	-0.075
6.975	-2.485	-0.488	0.063	-2.915	-0.075
7.05	-2.51	-0.479	0.044	-2.944	-0.076
7.125	-2.529	-0.459	0.029	-2.969	-0.077
7.2	-2.539	-0.449	0.01	-2.983	-0.077
7.275	-2.549	-0.439	-0.01	-2.993	-0.077
7.35	-2.554	-0.415	-0.034	-3.003	-0.077
7.425	-2.549	-0.4	-0.049	-2.998	-0.077
7.5	-2.539	-0.386	-0.063	-2.993	-0.077
7.575	-2.529	-0.361	-0.093	-2.979	-0.077
7.65	-2.515	-0.347	-0.107	-2.959	-0.076
7.725	-2.49	-0.327	-0.122	-2.935	-0.075
7.8	-2.456	-0.308	-0.142	-2.9	-0.074
7.875	-2.427	-0.283	-0.161	-2.866	-0.073
7.95	-2.388	-0.259	-0.181	-2.822	-0.072
8.025	-2.344	-0.244	-0.195	-2.773	-0.071
8.1	-2.3	-0.215	-0.215	-2.72	-0.069
8.175	-2.246	-0.19	-0.234	-2.656	-0.068
8.25	-2.188	-0.171	-0.244	-2.593	-0.066
8.325	-2.129	-0.137	-0.264	-2.524	-0.064
8.4	-2.061	-0.122	-0.278	-2.446	-0.062
8.475	-1.997	-0.088	-0.293	-2.368	-0.06
8.55	-1.919	-0.068	-0.312	-2.28	-0.058
8.625	-1.846	-0.039	-0.317	-2.188	-0.055
8.7	-1.758	-0.02	-0.332	-2.095	-0.053
8.775	-1.675	0.005	-0.347	-1.992	-0.05
8.85	-1.592	0.034	-0.356	-1.89	-0.048
8.925	-1.494	0.059	-0.371	-1.782	-0.045
9	-1.401	0.083	-0.381	-1.67	-0.042
9.075	-1.304	0.107	-0.386	-1.558	-0.039
9.15	-1.201	0.127	-0.396	-1.436	-0.036
9.225	-1.099	0.156	-0.4	-1.318	-0.033
9.3	-0.996	0.186	-0.41	-1.191	-0.03
9.375	-0.889	0.205	-0.415	-1.069	-0.026
9.45	-0.781	0.229	-0.42	-0.942	-0.023
9.525	-0.664	0.249	-0.43	-0.811	-0.02
9.6	-0.557	0.269	-0.425	-0.679	-0.016
9.675	-0.444	0.298	-0.435	-0.547	-0.013
9.75	-0.327	0.312	-0.435	-0.41	-0.009
9.825	-0.215	0.337	-0.435	-0.278	-0.006
9.9	-0.098	0.352	-0.435	-0.142	-0.002
9.975	0.015	0.376	-0.43	-0.01	0.001
10.05	0.132	0.391	-0.435	0.127	0.005
10.125	0.249	0.405	-0.43	0.264	0.008
10.2	0.356	0.43	-0.425	0.4	0.012
10.275	0.479	0.439	-0.42	0.532	0.015
10.35	0.586	0.454	-0.415	0.664	0.019
10.425	0.698	0.469	-0.41	0.796	0.022
10.5	0.811	0.483	-0.405	0.928	0.025
10.575	0.918	0.493	-0.396	1.055	0.029
10.65	1.025	0.508	-0.386	1.182	0.032
10.725	1.128	0.518	-0.376	1.309	0.035
10.8	1.23	0.527	-0.366	1.426	0.038
10.875	1.333	0.532	-0.356	1.543	0.041
10.95	1.426	0.537	-0.342	1.66	0.044
11.025	1.523	0.547	-0.332	1.772	0.047
11.1	1.611	0.547	-0.322	1.88	0.05
11.175	1.699	0.552	-0.303	1.982	0.052
11.25	1.782	0.552	-0.293	2.08	0.055
11.325	1.86	0.552	-0.273	2.178	0.057
11.4	1.938	0.552	-0.259	2.271	0.059
11.475	2.012	0.552	-0.244	2.358	0.062
11.55	2.08	0.552	-0.229	2.437	0.064
11.625	2.148	0.547	-0.215	2.515	0.066
11.7	2.207	0.537	-0.195	2.588	0.067
11.775	2.261	0.532	-0.176	2.646	0.069
11.85	2.31	0.527	-0.161	2.715	0.071
11.925	2.354	0.518	-0.137	2.764	0.072
12	2.397	0.513	-0.127	2.817	0.073
12.075	2.432	0.498	-0.103	2.861	0.074
12.15	2.461	0.488	-0.083	2.896	0.075
12.225	2.49	0.479	-0.068	2.93	0.076
12.3	2.51	0.464	-0.044	2.954	0.076
12.375	2.524	0.449	-0.029	2.974	0.077
12.45	2.539	0.43	-0.01	2.993	0.077
12.525	2.539	0.42	0.015	2.993	0.077
12.6	2.544	0.4	0.029	2.998	0.077
12.675	2.539	0.381	0.054	2.993	0.077
12.75	2.529	0.366	0.068	2.983	0.077
12.825	2.51	0.342	0.088	2.969	0.076
12.9	2.49	0.327	0.107	2.944	0.076
12.975	2.466	0.308	0.122	2.915	0.075
13.05	2.437	0.283	0.146	2.881	0.074
13.125	2.397	0.264	0.161	2.837	0.073
13.2	2.358	0.239	0.181	2.793	0.071
13.275	2.31	0.215	0.2	2.739	0.07
13.35	2.261	0.195	0.215	2.686	0.068
13.425	2.207	0.166	0.234	2.622	0.067
13.5	2.148	0.146	0.249	2.549	0.065
13.575	2.085	0.122	0.259	2.48	0.063
13.65	2.017	0.093	0.278	2.397	0.061
13.725	1.943	0.073	0.293	2.314	0.059
13.8	1.87	0.044	0.303	2.227	0.056
13.875	1.787	0.02	0.322	2.129	0.054
13.95	1.709	0	0.332	2.036	0.051
14.025	1.621	-0.034	0.347	1.934	0.049
14.1	1.528	-0.054	0.352	1.826	0.046
14.175	1.436	-0.078	0.361	1.724	0.043
14.25	1.338	-0.103	0.376	1.606	0.04
14.325	1.24	-0.137	0.381	1.489	0.037
14.4	1.138	-0.156	0.396	1.372	0.034
14.475	1.03	-0.176	0.4	1.25	0.031
14.55	0.928	-0.205	0.405	1.123	0.028
14.625	0.815	-0.225	0.41	0.996	0.024
14.7	0.708	-0.249	0.41	0.869	0.021
14.775	0.596	-0.273	0.42	0.737	0.018
14.85	0.483	-0.293	0.42	0.601	0.014
14.925	0.371	-0.312	0.42	0.474	0.011
15	0.254	-0.337	0.425	0.337	0.007
15.075	0.142	-0.352	0.425	0.2	0.004
15.15	0.029	-0.376	0.425	0.063	2.44E-04
15.225	-0.093	-0.391	0.425	-0.073	-0.003
15.3	-0.205	-0.41	0.42	-0.205	-0.007
15.375	-0.322	-0.43	0.415	-0.342	-0.01
15.45	-0.43	-0.444	0.415	-0.479	-0.014
15.525	-0.542	-0.459	0.41	-0.61	-0.017
15.6	-0.659	-0.474	0.405	-0.742	-0.021
15.675	-0.767	-0.483	0.396	-0.874	-0.024
15.75	-0.879	-0.498	0.391	-1.001	-0.027
15.825	-0.986	-0.503	0.381	-1.128	-0.031
15.9	-1.089	-0.522	0.371	-1.25	-0.033
15.975	-1.191	-0.532	0.361	-1.377	-0.037
16.05	-1.289	-0.537	0.352	-1.494	-0.04
16.125	-1.392	-0.542	0.337	-1.611	-0.043
16.2	-1.484	-0.547	0.332	-1.724	-0.045
16.275	-1.577	-0.552	0.312	-1.831	-0.048
16.35	-1.67	-0.557	0.303	-1.938	-0.051
16.425	-1.753	-0.557	0.288	-2.041	-0.053
16.5	-1.831	-0.566	0.278	-2.134	-0.056
16.575	-1.914	-0.562	0.259	-2.231	-0.058
16.65	-1.987	-0.566	0.244	-2.319	-0.061
16.725	-2.061	-0.557	0.225	-2.402	-0.063
16.8	-2.124	-0.557	0.215	-2.48	-0.065
16.875	-2.188	-0.547	0.19	-2.554	-0.067
16.95	-2.241	-0.547	0.181	-2.627	-0.068
17.025	-2.295	-0.532	0.156	-2.686	-0.07
17.1	-2.344	-0.537	0.142	-2.744	-0.071
17.175	-2.383	-0.527	0.122	-2.798	-0.073
17.25	-2.422	-0.518	0.103	-2.842	-0.073
17.325	-2.456	-0.508	0.088	-2.881	-0.074
17.4	-2.485	-0.493	0.063	-2.92	-0.075
17.475	-2.51	-0.479	0.044	-2.944	-0.076
17.55	-2.529	-0.459	0.024	-2.969	-0.077
17.625	-2.539	-0.454	0.01	-2.983	-0.077
17.7	-2.549	-0.435	-0.015	-2.998	-0.077
17.775	-2.549	-0.415	-0.029	-3.003	-0.077
17.85	-2.544	-0.4	-0.054	-2.998	-0.077
17.925	-2.539	-0.376	-0.068	-2.993	-0.077
18	-2.524	-0.366	-0.088	-2.974	-0.076
18.075	-2.51	-0.342	-0.107	-2.959	-0.076
18.15	-2.485	-0.327	-0.127	-2.935	-0.075
18.225	-2.451	-0.308	-0.146	-2.896	-0.074
18.3	-2.422	-0.278	-0.161	-2.861	-0.073
18.375	-2.383	-0.254	-0.186	-2.817	-0.072
18.45	-2.339	-0.234	-0.2	-2.764	-0.071
18.525	-2.295	-0.21	-0.21	-2.71	-0.069
18.6	-2.241	-0.19	-0.234	-2.646	-0.068
18.675	-2.183	-0.166	-0.249	-2.583	-0.066
18.75	-2.119	-0.137	-0.264	-2.515	-0.064
18.825	-2.051	-0.117	-0.278	-2.432	-0.062
18.9	-1.987	-0.093	-0.293	-2.354	-0.06
18.975	-1.914	-0.063	-0.312	-2.271	-0.057
19.05	-1.831	-0.044	-0.317	-2.178	-0.055
19.125	-1.748	-0.015	-0.337	-2.08	-0.052
19.2	-1.665	0.01	-0.347	-1.982	-0.05
19.275	-1.577	0.039	-0.356	-1.875	-0.047
19.35	-1.479	0.063	-0.371	-1.768	-0.044
19.425	-1.387	0.078	-0.376	-1.66	-0.042
19.5	-1.289	0.107	-0.386	-1.543	-0.039
19.575	-1.191	0.132	-0.4	-1.421	-0.035
19.65	-1.089	0.161	-0.405	-1.304	-0.032
19.725	-0.981	0.186	-0.415	-1.182	-0.029
19.8	-0.874	0.205	-0.42	-1.055	-0.026
19.875	-0.767	0.229	-0.425	-0.928	-0.022
19.95	-0.654	0.249	-0.425	-0.796	-0.019
20.025	-0.542	0.273	-0.43	-0.664	-0.016
20.1	-0.43	0.293	-0.43	-0.532	-0.012
20.175	-0.312	0.317	-0.435	-0.396	-0.009
20.25	-0.2	0.337	-0.43	-0.264	-0.005
20.325	-0.083	0.356	-0.435	-0.127	-0.002
20.4	0.029	0.376	-0.43	0.01	0.001
20.475	0.146	0.396	-0.43	0.142	0.005
20.55	0.259	0.41	-0.43	0.283	0.009
20.625	0.371	0.43	-0.425	0.415	0.012
20.7	0.488	0.444	-0.42	0.547	0.016
20.775	0.601	0.454	-0.415	0.684	0.019
20.85	0.713	0.474	-0.41	0.811	0.022
20.925	0.82	0.483	-0.405	0.947	0.026
21	0.928	0.493	-0.391	1.069	0.029
21.075	1.035	0.508	-0.386	1.196	0.032
21.15	1.143	0.513	-0.376	1.323	0.035
21.225	1.24	0.527	-0.366	1.44	0.038
21.3	1.343	0.532	-0.356	1.562	0.041
21.375	1.436	0.537	-0.342	1.675	0.044
21.45	1.533	0.547	-0.332	1.782	0.047
21.525	1.621	0.547	-0.312	1.895	0.05
21.6	1.704	0.552	-0.303	1.992	0.052
21.675	1.797	0.552	-0.293	2.095	0.055
21.75	1.875	0.552	-0.273	2.188	0.057
21.825	1.948	0.557	-0.259	2.28	0.06
21.9	2.021	0.552	-0.244	2.363	0.062
21.975	2.085	0.552	-0.225	2.446	0.064
22.05	2.153	0.547	-0.21	2.524	0.066
22.125	2.212	0.537	-0.19	2.593	0.068
22.2	2.266	0.532	-0.176	2.656	0.069
22.275	2.314	0.522	-0.156	2.72	0.071
22.35	2.358	0.522	-0.137	2.773	0.072
22.425	2.402	0.513	-0.122	2.822	0.073
22.5	2.437	0.493	-0.098	2.866	0.074
22.575	2.466	0.488	-0.083	2.9	0.075
22.65	2.495	0.474	-0.063	2.935	0.076
22.725	2.51	0.459	-0.044	2.959	0.076
22.8	2.529	0.449	-0.024	2.979	0.077
22.875	2.539	0.43	0	2.993	0.077
22.95	2.539	0.42	0.015	2.998	0.077
23.025	2.544	0.4	0.029	2.998	0.077
23.1	2.539	0.376	0.054	2.993	0.077
23.175	2.524	0.366	0.068	2.983	0.077
23.25	2.51	0.342	0.093	2.969	0.076
23.325	2.485	0.327	0.112	2.939	0.075
23.4	2.461	0.303	0.127	2.915	0.075
23.475	2.432	0.278	0.146	2.881	0.074
23.55	2.393	0.264	0.166	2.832	0.073
23.625	2.354	0.234	0.181	2.788	0.071
23.7	2.305	0.215	0.2	2.734	0.07
23.775	2.256	0.195	0.215	2.676	0.068
23.85	2.202	0.166	0.234	2.617	0.066
23.925	2.139	0.142	0.249	2.544	0.065
24	2.08	0.117	0.264	2.471	0.063
24.075	2.012	0.088	0.283	2.388	0.061
24.15	1.938	0.068	0.293	2.305	0.059
24.225	1.86	0.044	0.308	2.217	0.056
24.3	1.777	0.02	0.322	2.119	0.054
24.375	1.699	-0.005	0.332	2.021	0.051
24.45	1.606	-0.034	0.342	1.924	0.048
24.525	1.519	-0.059	0.356	1.816	0.046
24.6	1.426	-0.083	0.366	1.709	0.043
24.675	1.328	-0.107	0.376	1.592	0.04
24.75	1.226	-0.132	0.381	1.475	0.037
24.825	1.123	-0.156	0.391	1.357	0.033
24.9	1.021	-0.181	0.4	1.23	0.03
24.975	0.913	-0.205	0.405	1.108	0.027
25.05	0.801	-0.229	0.41	0.981	0.024
25.125	0.698	-0.249	0.415	0.854	0.021
25.2	0.586	-0.273	0.42	0.723	0.017
25.275	0.469	-0.293	0.42	0.586	0.014
25.35	0.361	-0.317	0.425	0.454	0.01
25.425	0.239	-0.337	0.425	0.322	0.007
25.5	0.127	-0.356	0.425	0.186	0.003
25.575	0.015	-0.381	0.425	0.049	0
25.65	-0.103	-0.391	0.42	-0.088	-0.004
25.725	-0.215	-0.41	0.42	-0.22	-0.007
25.8	-0.332	-0.43	0.42	-0.356	-0.011
25.875	-0.449	-0.444	0.41	-0.493	-0.014
25.95	-0.557	-0.464	0.41	-0.625	-0.018
26.025	-0.674	-0.469	0.405	-0.762	-0.021
26.1	-0.781	-0.483	0.391	-0.889	-0.024
26.175	-0.894	-0.498	0.391	-1.016	-0.028
26.25	-0.996	-0.508	0.381	-1.143	-0.031
26.325	-1.104	-0.518	0.366	-1.265	-0.034
26.4	-1.206	-0.527	0.361	-1.392	-0.037
26.475	-1.304	-0.537	0.352	-1.509	-0.04
26.55	-1.401	-0.547	0.342	-1.626	-0.043
26.625	-1.499	-0.547	0.327	-1.738	-0.046
26.7	-1.587	-0.557	0.312	-1.841	-0.049
26.775	-1.68	-0.557	0.298	-1.953	-0.052
26.85	-1.763	-0.557	0.283	-2.051	-0.054
26.925	-1.846	-0.566	0.273	-2.148	-0.056
27	-1.924	-0.566	0.259	-2.241	-0.059
27.075	-1.992	-0.562	0.239	-2.329	-0.061
27.15	-2.07	-0.557	0.225	-2.412	-0.063
27.225	-2.129	-0.557	0.21	-2.49	-0.065
27.3	-2.192	-0.552	0.19	-2.563	-0.067
27.375	-2.251	-0.547	0.176	-2.637	-0.068
27.45	-2.3	-0.537	0.156	-2.69	-0.07
27.525	-2.344	-0.537	0.142	-2.749	-0.072
27.6	-2.393	-0.518	0.117	-2.803	-0.073
27.675	-2.432	-0.513	0.098	-2.847	-0.074
27.75	-2.461	-0.503	0.083	-2.891	-0.075
27.825	-2.485	-0.493	0.063	-2.925	-0.075
