Time (ms)	Voltage (V)	Voltage (V)	Voltage (V)	Output Voltage (V)	Output Current (A)
0	0.688	0.469	-0.41	0.786	0.022
0.075	0.796	0.479	-0.405	0.913	0.025
0.15	0.903	0.493	-0.396	1.04	0.028
0.225	1.011	0.503	-0.391	1.167	0.031
0.3	1.118	0.508	-0.376	1.294	0.035
0.375	1.216	0.527	-0.366	1.411	0.038
0.45	1.318	0.532	-0.361	1.533	0.041
0.525	1.416	0.537	-0.347	1.646	0.043
0.6	1.509	0.547	-0.337	1.758	0.046
0.675	1.602	0.547	-0.322	1.865	0.049
0.75	1.685	0.552	-0.308	1.973	0.052
0.825	1.772	0.552	-0.298	2.07	0.054
0.9	1.855	0.552	-0.278	2.168	0.057
0.975	1.929	0.557	-0.264	2.256	0.059
1.05	2.007	0.552	-0.249	2.349	0.061
1.125	2.07	0.547	-0.229	2.427	0.063
1.2	2.139	0.547	-0.215	2.505	0.065
1.275	2.197	0.542	-0.195	2.578	0.067
1.35	2.251	0.537	-0.181	2.642	0.069
1.425	2.305	0.527	-0.166	2.705	0.07
1.5	2.349	0.518	-0.142	2.759	0.072
1.575	2.393	0.513	-0.127	2.813	0.073
1.65	2.427	0.498	-0.107	2.856	0.074
1.725	2.461	0.493	-0.088	2.896	0.075
1.8	2.485	0.479	-0.068	2.93	0.076
1.875	2.51	0.464	-0.049	2.954	0.076
1.95	2.524	0.449	-0.029	2.974	0.077
2.025	2.539	0.435	-0.01	2.988	0.077
2.1	2.539	0.42	0.01	2.998	0.077
2.175	2.544	0.4	0.029	2.998	0.077
2.25	2.539	0.381	0.049	2.998	0.077
2.325	2.529	0.371	0.068	2.983	0.077
2.4	2.515	0.342	0.088	2.969	0.076
2.475	2.49	0.332	0.107	2.949	0.076
2.55	2.471	0.308	0.122	2.92	0.075
2.625	2.441	0.283	0.142	2.886	0.074
2.7	2.402	0.269	0.161	2.842	0.073
2.775	2.363	0.239	0.176	2.798	0.072
2.85	2.319	0.22	0.195	2.749	0.07
2.925	2.271	0.195	0.21	2.69	0.069
3	2.217	0.166	0.229	2.627	0.067
3.075	2.153	0.151	0.244	2.559	0.065
3.15	2.095	0.122	0.259	2.49	0.063
3.225	2.026	0.098	0.278	2.407	0.061
3.3	1.953	0.073	0.288	2.324	0.059
