Time (ms)	Voltage (V)	Voltage (V)	Voltage (V)	Output Voltage (V)	Output Current (A)
10.575	0.937	0.176	-0.146	0.996	0.01
10.65	1.06	0.181	-0.151	1.128	1.10E-02
10.725	1.177	0.181	-0.142	1.25	0.012
10.8	1.289	0.19	-0.142	1.372	0.013
10.875	1.406	0.186	-0.137	1.494	0.014
10.95	1.514	0.195	-0.132	1.606	0.015
11.025	1.621	0.195	-0.132	1.724	0.016
11.1	1.724	0.195	-0.122	1.831	0.018
11.175	1.821	0.2	-0.122	1.934	0.019
11.25	1.924	0.195	-0.112	2.041	0.02
11.325	2.012	0.2	-0.107	2.134	0.02
11.4	2.1	0.2	-0.107	2.231	0.021
11.475	2.188	0.195	-0.098	2.319	0.022
11.55	2.266	0.2	-0.093	2.402	0.023
11.625	2.339	0.195	-0.083	2.48	0.024
11.7	2.402	0.2	-0.078	2.554	0.024
11.775	2.476	0.195	-0.073	2.622	0.025
11.85	2.534	0.195	-0.063	2.686	0.025
11.925	2.583	0.19	-0.059	2.744	0.026
12	2.637	0.186	-0.054	2.793	0.027
12.075	2.676	0.186	-0.049	2.842	0.027
12.15	2.72	0.181	-0.039	2.881	0.027
12.225	2.749	0.176	-0.034	2.915	0.028
12.3	2.778	0.171	-0.024	2.944	0.028
12.375	2.803	0.166	-0.02	2.969	0.028
12.45	2.813	0.161	-0.01	2.983	0.028
12.525	2.827	0.156	0	2.993	0.028
12.6	2.832	0.146	0.005	2.998	0.028
12.675	2.827	0.146	0.01	2.998	0.028
12.75	2.822	0.137	0.015	2.988	0.028
12.825	2.808	0.127	0.024	2.974	0.028
12.9	2.788	0.122	0.034	2.954	0.028
12.975	2.769	0.117	0.039	2.935	0.028
13.05	2.734	0.107	0.049	2.896	0.027
13.125	2.7	0.098	0.054	2.861	0.027
13.2	2.656	0.093	0.059	2.817	0.026
13.275	2.607	0.083	0.068	2.764	0.026
13.35	2.559	0.073	0.068	2.71	0.025
13.425	2.5	0.068	0.078	2.646	0.025
13.5	2.437	0.059	0.083	2.583	0.024
13.575	2.368	0.049	0.088	2.515	0.023
13.65	2.3	0.039	0.098	2.437	0.023
13.725	2.227	0.029	0.098	2.354	0.022
13.8	2.139	0.02	0.107	2.266	0.021
13.875	2.056	0.015	0.112	2.173	0.021
13.95	1.963	0	0.117	2.08	0.02
14.025	1.865	-0.005	0.122	1.978	0.019
14.1	1.772	-0.015	0.122	1.875	0.018
14.175	1.67	-0.024	0.127	1.768	0.016
14.25	1.562	-0.034	0.132	1.655	0.016
14.325	1.455	-0.039	0.137	1.543	0.014
14.4	1.343	-0.054	0.142	1.426	0.013
14.475	1.23	-0.059	0.142	1.304	0.012
14.55	1.113	-0.068	0.142	1.182	0.011
14.625	0.996	-0.078	0.146	1.05	0.01
14.7	0.874	-0.088	0.146	0.928	0.009
14.775	0.752	-0.098	0.151	0.796	0.007
14.85	0.625	-0.103	0.151	0.664	0.006
14.925	0.498	-0.112	0.151	0.532	0.005
15	0.371	-0.117	0.156	0.396	0.003
15.075	0.244	-0.127	0.151	0.264	0.002
15.15	0.117	-0.137	0.156	0.127	9.77E-04
15.225	-0.01	-0.146	0.156	-0.01	-2.44E-04
15.3	-0.137	-0.146	0.151	-0.146	-0.002
15.375	-0.269	-0.151	0.151	-0.283	-0.003
15.45	-0.391	-0.156	0.146	-0.415	-0.004
15.525	-0.522	-0.166	0.151	-0.552	-0.005
15.6	-0.645	-0.166	0.146	-0.684	-0.007
15.675	-0.767	-0.176	0.146	-0.815	-0.008
15.75	-0.894	-0.176	0.142	-0.947	-0.009
15.825	-1.011	-0.186	0.137	-1.069	-0.01
15.9	-1.133	-0.19	0.137	-1.196	-0.012
15.975	-1.25	-0.19	0.132	-1.323	-0.013
16.05	-1.362	-0.2	0.132	-1.44	-0.014
16.125	-1.479	-0.195	0.127	-1.558	-0.015
16.2	-1.582	-0.2	0.122	-1.675	-0.016
16.275	-1.689	-0.205	0.117	-1.782	-0.017
16.35	-1.787	-0.205	0.112	-1.895	-0.018
16.425	-1.885	-0.205	0.103	-1.992	-0.019
16.5	-1.982	-0.21	0.103	-2.095	-0.02
16.575	-2.07	-0.205	0.098	-2.188	-0.021
16.65	-2.153	-0.205	0.093	-2.28	-0.022
16.725	-2.241	-0.205	0.088	-2.368	-0.022
16.8	-2.314	-0.205	0.078	-2.446	-0.023
16.875	-2.383	-0.205	0.073	-2.524	-0.024
16.95	-2.451	-0.205	0.063	-2.593	-0.025
17.025	-2.515	-0.205	0.059	-2.656	-0.025
17.1	-2.573	-0.2	0.054	-2.725	-0.026
17.175	-2.622	-0.195	0.044	-2.773	-0.026
17.25	-2.671	-0.195	0.039	-2.822	-0.027
17.325	-2.71	-0.19	0.034	-2.866	-0.027
17.4	-2.744	-0.186	0.024	-2.9	-0.028
17.475	-2.773	-0.186	0.02	-2.935	-0.028
17.55	-2.798	-0.176	0.01	-2.959	-0.028
17.625	-2.813	-0.176	0.005	-2.979	-0.028
17.7	-2.832	-0.166	0	-2.998	-0.028
17.775	-2.832	-0.156	-0.01	-2.998	-0.028
17.85	-2.837	-0.151	-0.015	-3.003	-0.028
17.925	-2.832	-0.146	-0.024	-2.998	-0.028
18	-2.822	-0.137	-0.034	-2.983	-0.028
18.075	-2.808	-0.132	-0.039	-2.969	-0.028
18.15	-2.783	-0.122	-0.049	-2.944	-0.028
18.225	-2.759	-0.117	-0.054	-2.915	-0.028
18.3	-2.725	-0.107	-0.059	-2.881	-0.027
18.375	-2.686	-0.103	-0.068	-2.837	-0.027
18.45	-2.642	-0.093	-0.073	-2.793	-0.026
18.525	-2.588	-0.088	-0.078	-2.739	-0.026
18.6	-2.534	-0.078	-0.088	-2.681	-0.025
18.675	-2.476	-0.068	-0.093	-2.617	-0.025
18.75	-2.407	-0.063	-0.098	-2.544	-0.024
18.825	-2.339	-0.054	-0.098	-2.471	-0.023
18.9	-2.261	-0.044	-0.107	-2.393	-0.022
18.975	-2.183	-0.034	-0.112	-2.305	-0.022
19.05	-2.1	-0.024	-0.117	-2.222	-0.021
19.125	-2.012	-0.02	-0.127	-2.124	-0.02
19.2	-1.919	-0.01	-0.127	-2.026	-0.019
19.275	-1.821	0.005	-0.137	-1.924	-0.018
19.35	-1.719	0.01	-0.137	-1.816	-0.017
19.425	-1.621	0.024	-0.142	-1.709	-0.016
19.5	-1.509	0.029	-0.146	-1.592	-0.015
19.575	-1.401	0.039	-0.146	-1.479	-0.014
19.65	-1.289	0.054	-0.151	-1.357	-0.013
19.725	-1.172	0.059	-0.151	-1.235	-0.011
19.8	-1.055	0.068	-0.156	-1.113	-0.01
19.875	-0.933	0.078	-0.156	-0.981	-0.009
19.95	-0.811	0.078	-0.156	-0.854	-0.008
20.025	-0.688	0.093	-0.161	-0.723	-0.007
20.1	-0.562	0.098	-0.166	-0.591	-0.005
20.175	-0.439	0.107	-0.161	-0.459	-0.004
20.25	-0.308	0.117	-0.166	-0.322	-0.003
20.325	-0.181	0.122	-0.161	-0.186	-0.001
20.4	-0.059	0.132	-0.166	-0.054	-2.44E-04
20.475	0.078	0.137	-0.166	0.088	9.77E-04
20.55	0.2	0.142	-0.161	0.22	0.002
20.625	0.332	0.151	-0.161	0.352	0.004
20.7	0.459	0.151	-0.156	0.488	0.005
20.775	0.581	0.161	-0.156	0.625	0.006
20.85	0.708	0.166	-0.156	0.757	0.007
20.925	0.83	0.171	-0.151	0.884	0.009
21	0.952	0.176	-0.151	1.016	0.01
21.075	1.074	0.176	-0.146	1.143	0.011
21.15	1.187	0.186	-0.146	1.265	0.012
21.225	1.309	0.186	-0.142	1.387	0.013
21.3	1.416	0.19	-0.137	1.504	0.014
21.375	1.523	0.195	-0.132	1.621	0.015
21.45	1.636	0.195	-0.127	1.738	0.017
21.525	1.733	0.195	-0.122	1.846	1.80E-02
21.6	1.836	0.195	-0.117	1.948	0.019
21.675	1.934	0.2	-0.112	2.051	0.02
21.75	2.021	0.2	-0.107	2.148	0.021
21.825	2.114	0.2	-0.103	2.241	0.021
21.9	2.192	0.2	-0.098	2.329	0.022
21.975	2.275	0.195	-0.093	2.412	0.023
22.05	2.349	0.195	-0.088	2.49	0.024
22.125	2.412	0.195	-0.078	2.559	0.024
22.2	2.48	0.195	-0.073	2.632	0.025
22.275	2.539	0.19	-0.063	2.695	0.025
22.35	2.593	0.19	-0.059	2.749	0.026
22.425	2.642	0.186	-0.054	2.803	0.027
22.5	2.681	0.186	-0.044	2.847	0.027
22.575	2.725	0.176	-0.039	2.886	0.027
22.65	2.754	0.176	-0.029	2.92	0.028
22.725	2.778	0.171	-0.024	2.949	0.028
22.8	2.803	0.166	-0.02	2.974	0.028
22.875	2.817	0.161	-0.01	2.988	2.80E-02
22.95	2.827	0.151	0	2.998	0.028
23.025	2.832	0.146	0.005	2.998	0.028
23.1	2.827	0.142	0.01	2.998	0.028
23.175	2.822	0.137	0.02	2.988	0.028
23.25	2.803	0.127	0.024	2.974	0.028
23.325	2.788	0.122	0.034	2.954	0.028
23.4	2.764	0.112	0.039	2.925	0.028
23.475	2.725	0.107	0.049	2.891	0.027
23.55	2.695	0.098	0.049	2.856	0.027
23.625	2.651	0.088	0.059	2.813	0.026
23.7	2.603	0.083	0.068	2.759	0.026
23.775	2.554	0.073	0.073	2.705	0.026
23.85	2.49	0.068	0.078	2.642	0.025
23.925	2.432	0.059	0.083	2.578	0.024
24	2.363	0.049	0.093	2.505	0.023
24.075	2.29	0.039	0.098	2.427	0.023
24.15	2.212	0.029	0.103	2.344	0.022
24.225	2.129	0.02	0.107	2.256	2.10E-02
24.3	2.046	0.015	0.107	2.163	0.02
24.375	1.953	0	0.117	2.07	0.02
24.45	1.855	0	0.122	1.963	0.018
24.525	1.763	-0.02	0.122	1.865	0.018
24.6	1.655	-0.024	0.132	1.753	0.016
24.675	1.548	-0.034	0.132	1.646	0.015
24.75	1.445	-0.049	0.137	1.528	0.014
24.825	1.328	-0.054	0.142	1.406	0.013
24.9	1.216	-0.059	0.142	1.294	0.012
24.975	1.099	-0.073	0.146	1.162	0.011
25.05	0.977	-0.078	0.146	1.035	0.01
25.125	0.859	-0.088	0.146	0.913	0.008
25.2	0.732	-0.098	0.151	0.781	0.007
25.275	0.61	-0.103	0.151	0.649	0.006
25.35	0.488	-0.117	0.156	0.513	0.005
25.425	0.356	-0.117	0.156	0.381	0.003
25.5	0.234	-0.127	0.151	0.249	0.002
25.575	0.103	-0.137	0.156	0.107	7.32E-04
25.65	-0.024	-0.142	0.151	-0.024	-4.88E-04
25.725	-0.156	-0.151	0.151	-0.156	-0.002
25.8	-0.283	-0.156	0.151	-0.298	-0.003
25.875	-0.41	-0.166	0.151	-0.43	-0.004
25.95	-0.537	-0.166	0.151	-0.566	-0.006
26.025	-0.659	-0.171	0.146	-0.698	-0.007
26.1	-0.781	-0.181	0.146	-0.83	-0.008
26.175	-0.908	-0.181	0.142	-0.957	-0.009
26.25	-1.025	-0.186	0.137	-1.084	-0.01
26.325	-1.147	-0.195	0.137	-1.211	-0.012
26.4	-1.265	-0.19	0.132	-1.338	-0.013
26.475	-1.377	-0.2	0.132	-1.455	-0.014
26.55	-1.484	-0.2	0.127	-1.572	-0.015
26.625	-1.597	-0.2	0.117	-1.689	-0.016
26.7	-1.699	-0.21	0.117	-1.797	-0.017
26.775	-1.802	-0.205	0.112	-1.904	-0.018
26.85	-1.895	-0.21	0.107	-2.007	-0.019
26.925	-1.992	-0.205	0.103	-2.109	-2.00E-02
27	-2.08	-0.21	0.093	-2.202	-0.021
27.075	-2.163	-0.21	0.093	-2.29	-0.022
27.15	-2.246	-0.205	0.083	-2.378	-0.023
27.225	-2.324	-0.205	0.078	-2.456	-0.023
27.3	-2.393	-0.205	0.073	-2.534	-0.024
27.375	-2.461	-0.205	0.063	-2.603	-0.025
27.45	-2.52	-0.205	0.059	-2.666	-0.025
27.525	-2.578	-0.2	0.054	-2.729	-0.026
27.6	-2.627	-0.2	0.044	-2.778	-0.026
27.675	-2.676	-0.195	0.044	-2.827	-0.027
27.75	-2.715	-0.19	0.034	-2.871	-0.027
27.825	-2.744	-0.19	0.024	-2.905	-0.027
