Time (ms)	Voltage (V)	Voltage (V)	Voltage (V)	Output Voltage (V)	Output Current (A)
0	0.684	0.161	-0.156	0.728	0.007
0.075	0.801	0.171	-0.156	0.854	0.008
0.15	0.923	0.176	-0.151	0.981	0.01
0.225	1.045	0.176	-0.151	1.113	0.011
0.3	1.162	0.186	-0.142	1.235	0.012
0.375	1.279	0.186	-0.142	1.357	0.013
0.45	1.392	0.19	-0.137	1.479	0.014
0.525	1.499	0.195	-0.132	1.597	0.015
0.6	1.611	0.195	-0.132	1.709	0.016
0.675	1.709	0.195	-0.122	1.816	0.017
0.75	1.812	0.2	-0.122	1.924	1.80E-02
0.825	1.914	0.195	-0.112	2.026	0.02
0.9	1.997	0.2	-0.107	2.124	0.02
0.975	2.09	0.195	-0.103	2.217	0.021
1.05	2.173	0.2	-0.098	2.31	0.022
1.125	2.256	0.2	-0.093	2.393	0.023
1.2	2.329	0.195	-0.088	2.471	0.023
1.275	2.397	0.2	-0.078	2.544	0.024
1.35	2.466	0.195	-0.073	2.617	0.025
1.425	2.524	0.195	-0.068	2.681	0.025
1.5	2.578	0.19	-0.059	2.734	0.026
1.575	2.632	0.186	-0.054	2.788	0.026
1.65	2.671	0.186	-0.049	2.837	0.027
1.725	2.715	0.181	-0.039	2.876	0.027
1.8	2.749	0.176	-0.034	2.915	0.028
1.875	2.773	0.171	-0.024	2.944	0.028
1.95	2.798	0.166	-0.02	2.969	0.028
2.025	2.813	0.161	-0.01	2.983	0.028
2.1	2.827	0.156	0	2.993	0.028
2.175	2.832	0.146	0	2.998	0.028
2.25	2.827	0.142	0.01	2.998	0.028
2.325	2.822	0.137	0.015	2.993	0.028
2.4	2.813	0.127	0.024	2.979	0.028
2.475	2.793	0.122	0.034	2.954	0.028
2.55	2.769	0.117	0.039	2.935	0.028
2.625	2.734	0.107	0.044	2.9	0.027
2.7	2.705	0.103	0.049	2.861	0.027
2.775	2.661	0.093	0.059	2.822	0.026
2.85	2.617	0.083	0.068	2.769	0.026
2.925	2.563	0.078	0.068	2.72	0.026
3	2.51	0.068	0.078	2.656	0.025
3.075	2.446	0.059	0.083	2.593	0.024
3.15	2.378	0.049	0.088	2.524	0.024
3.225	2.305	0.039	0.098	2.441	0.023
3.3	2.231	0.034	0.098	2.363	0.022
3.375	2.148	0.02	0.107	2.28	0.021
3.45	2.065	0.015	0.107	2.188	0.021
3.525	1.973	0.005	0.117	2.095	0.02
3.6	1.88	-0.01	0.122	1.992	0.019
3.675	1.782	-0.01	0.122	1.89	0.018
3.75	1.68	-0.029	0.132	1.777	0.017
3.825	1.572	-0.029	0.132	1.665	0.016
3.9	1.47	-0.044	0.137	1.558	0.014
3.975	1.357	-0.049	0.142	1.436	0.013
4.05	1.24	-0.059	0.137	1.318	0.012
4.125	1.128	-0.073	0.146	1.196	0.011
4.2	1.006	-0.073	0.146	1.064	0.01
4.275	0.889	-0.088	0.146	0.942	0.009
4.35	0.762	-0.093	0.151	0.811	0.007
4.425	0.64	-0.103	0.151	0.679	0.006
4.5	0.518	-0.112	0.151	0.547	0.005
4.575	0.386	-0.117	0.156	0.41	0.004
4.65	0.264	-0.127	0.156	0.278	0.002
4.725	0.132	-0.137	0.156	0.142	9.77E-04
4.8	0.005	-0.137	0.151	0.005	-7.32E-04
4.875	-0.122	-0.151	0.156	-0.127	-0.001
4.95	-0.254	-0.151	0.156	-0.269	-0.003
5.025	-0.376	-0.156	0.146	-0.4	-0.004
5.1	-0.508	-0.166	0.146	-0.532	-0.005
5.175	-0.63	-0.171	0.146	-0.669	-0.007
5.25	-0.757	-0.176	0.146	-0.801	-8.00E-03
5.325	-0.879	-0.181	0.142	-0.928	-0.009
5.4	-1.001	-0.181	0.137	-1.06	-0.01
5.475	-1.118	-0.195	0.137	-1.182	-0.011
5.55	-1.235	-0.19	0.132	-1.309	-0.013
5.625	-1.348	-0.195	0.127	-1.426	-0.014
5.7	-1.46	-0.2	0.127	-1.543	-0.015
5.775	-1.572	-0.195	0.122	-1.66	-0.016
5.85	-1.675	-0.205	0.117	-1.772	-0.017
5.925	-1.777	-0.2	0.112	-1.88	-0.018
6	-1.87	-0.21	0.107	-1.982	-0.019
6.075	-1.973	-0.21	0.103	-2.085	-0.02
6.15	-2.061	-0.205	0.098	-2.183	-0.021
6.225	-2.144	-0.21	0.093	-2.266	-0.022
6.3	-2.227	-0.21	0.088	-2.358	-0.022
6.375	-2.305	-0.205	0.078	-2.441	-0.023
6.45	-2.378	-0.205	0.073	-2.515	-0.024
6.525	-2.446	-0.2	0.068	-2.588	-0.025
6.6	-2.51	-0.2	0.059	-2.651	-2.50E-02
6.675	-2.568	-0.195	0.054	-2.715	-0.026
6.75	-2.617	-0.195	0.044	-2.769	-0.026
6.825	-2.666	-0.195	0.044	-2.817	-0.027
6.9	-2.71	-0.186	0.034	-2.866	-0.027
6.975	-2.744	-0.186	0.024	-2.9	-0.027
7.05	-2.773	-0.181	0.02	-2.93	-0.028
7.125	-2.798	-0.176	0.01	-2.959	-0.028
7.2	-2.813	-0.176	0.005	-2.979	-0.028
7.275	-2.827	-0.166	0	-2.993	-0.028
7.35	-2.832	-0.166	-0.01	-2.998	-0.028
7.425	-2.837	-0.156	-0.015	-2.998	-0.028
7.5	-2.832	-0.146	-0.024	-2.998	-0.028
7.575	-2.822	-0.142	-0.034	-2.983	-0.028
7.65	-2.813	-0.132	-0.039	-2.969	-0.028
7.725	-2.783	-0.127	-0.049	-2.944	-0.028
7.8	-2.759	-0.127	-0.049	-2.915	-0.028
7.875	-2.725	-0.112	-0.059	-2.881	-0.027
7.95	-2.686	-0.107	-0.063	-2.842	-0.027
8.025	-2.646	-0.098	-0.068	-2.793	-0.026
8.1	-2.593	-0.088	-0.078	-2.744	-0.026
8.175	-2.539	-0.083	-0.083	-2.686	-0.025
8.25	-2.48	-0.073	-0.088	-2.627	-0.025
8.325	-2.417	-0.063	-0.098	-2.554	-0.024
8.4	-2.344	-0.054	-0.098	-2.48	-0.023
8.475	-2.271	-0.044	-0.107	-2.402	-0.022
8.55	-2.192	-0.034	-0.112	-2.314	-0.022
8.625	-2.109	-0.024	-0.117	-2.231	-0.021
8.7	-2.021	-0.015	-0.127	-2.134	-0.02
8.775	-1.929	-0.01	-0.127	-2.036	-0.019
8.85	-1.836	0	-0.132	-1.938	-0.018
8.925	-1.733	0.01	-0.137	-1.831	-0.017
9	-1.631	0.02	-0.137	-1.719	-0.016
9.075	-1.523	0.029	-0.146	-1.606	-0.015
9.15	-1.416	0.034	-0.146	-1.489	-0.014
9.225	-1.304	0.049	-0.151	-1.372	-0.013
9.3	-1.182	0.059	-0.151	-1.25	-1.20E-02
9.375	-1.069	0.063	-0.151	-1.123	-0.01
9.45	-0.947	0.078	-0.156	-1.001	-0.009
9.525	-0.825	0.078	-0.156	-0.869	-0.008
9.6	-0.703	0.093	-0.161	-0.742	-0.007
9.675	-0.576	0.098	-0.161	-0.605	-0.006
9.75	-0.454	0.103	-0.161	-0.474	-0.004
9.825	-0.327	0.117	-0.166	-0.337	-0.003
9.9	-0.195	0.122	-0.166	-0.2	-0.002
9.975	-0.068	0.127	-0.161	-0.068	-4.88E-04
10.05	0.059	0.137	-0.166	0.068	9.77E-04
10.125	0.186	0.142	-0.161	0.205	0.002
10.2	0.317	0.151	-0.161	0.337	0.003
10.275	0.444	0.156	-0.156	0.474	0.005
10.35	0.566	0.161	-0.156	0.605	0.006
10.425	0.693	0.166	-0.156	0.742	0.007
10.5	0.815	0.171	-0.151	0.869	0.008
